case,region,side,x_m,x_over_c,span_m,x_phys_used,Re_x_star_lam,Re_x_star_turb,re_tri,re_x_over_re_tri,w_tr,q_lam,q_turb,q_LF,q_Fluent,q_ratio,p_e,p_ratio,h_r_lam_minus_h_w,h_r_turb_minus_h_w,rho_star_lam_over_rho_e,mu_star_lam_over_mu_e,rho_star_turb_over_rho_e,mu_star_turb_over_mu_e,q_turb_over_q_lam,turb_branch_active,distance_from_transition
ma6_a5_h30km,leading_edge_near,windward,0.17828817521879156,0.025,0.051551349999999996,0.09000000000000001,118098.87772171205,nan,2255358.697662857,0.0523636784889665,0.0,117429.17858689994,277070.82797845715,117429.17858689994,74452.38981,1.5772385397779074,4665.986812491669,1.5155502038987638,1337649.5285928708,1409740.7035779953,0.5855504323432115,1.4488511418149441,0.5707507573362677,1.4732328152445788,2.3594717370301557,0,nan
ma6_a5_h30km,leading_edge_near,windward,0.22214345502367888,0.037500000000000006,0.051551349999999996,0.13500000000000004,177122.47057182627,nan,2267846.879305948,0.07810160032763448,0.0,94850.51356483238,252276.90664602883,94850.51356483238,68980.70805,1.375029573429152,4596.103671155004,1.529924545295828,1337416.1327795684,1409580.8878090552,0.5834918003110371,1.4527118466207525,0.5687181192394376,1.477206318531915,2.659731583567991,0,nan
ma6_a5_h30km,leading_edge_near,windward,0.2659987348285662,0.05,0.051551349999999996,0.18000000000000002,240352.07650306728,nan,2256197.1362390406,0.10652973210653094,0.0,82253.98330448945,240159.34753498077,82253.98330448945,59750.69232,1.376619753022628,4661.247156341696,1.5767751660637854,1337633.778312981,1409729.9187097664,0.5854116116720225,1.449110596666699,0.5706136836737755,1.4734998532136387,2.91972908650459,0,nan
ma6_a5_h30km,windward_body,windward,0.3098540146334534,0.0625,0.051551349999999996,0.225,307774.910629182,nan,2267391.484582083,0.13573964298710856,0.0,71983.27004869225,225988.22649591067,71983.27004869225,53855.15664,1.3366086841019027,4598.625440098448,1.5284576381735322,1337424.5989155266,1409586.6849225892,0.5835665314142523,1.4525712034337446,0.5687919034725121,1.4770615676186276,3.1394548530935524,0,nan
ma6_a5_h30km,windward_body,windward,0.35370929443834076,0.07500000000000001,0.051551349999999996,0.2700000000000001,368736.41036356846,nan,2293002.9777101306,0.1608093901089483,0.0,64327.88658985446,212422.3618033305,64327.88658985446,49568.66243,1.297753125388388,4459.841118684935,1.4611372858287193,1336953.651126375,1409264.2074882726,0.5794029289716726,1.4604644733728043,0.5646814291473459,1.485185205474171,3.302181574185789,0,nan
ma6_a5_h30km,windward_body,windward,0.3975645742432281,0.08750000000000001,0.051551349999999996,0.31500000000000006,443583.7830709982,nan,2308642.7538889144,0.19214050433908852,0.0,57872.92393939378,201551.8060167105,57872.92393939378,46212.24939,1.2523286510246583,4378.046092087978,1.4184509291490515,1336671.1674561747,1409070.7792329527,0.5768991343886343,1.4652680924018116,0.5622099497678724,1.4901288535200417,3.4826615331857336,0,nan
ma6_a5_h30km,windward_body,windward,0.44141985404811535,0.1,0.051551349999999996,0.36000000000000004,500839.20152147714,nan,2319296.6306947623,0.21594443543491335,0.0,53975.162057063826,194655.40985819828,53975.162057063826,46293.03921,1.1659455282729496,4323.561523149715,1.390070226210082,1336480.903494013,1408940.4976268506,0.5752100224672415,1.4685332582881703,0.5605427937931472,1.4934891304745501,3.6063886135701444,0,nan
ma6_a5_h30km,windward_body,windward,0.4852751338530026,0.1125,0.051551349999999996,0.405,578214.424596996,nan,2333770.208809181,0.2477597933225967,0.0,49625.782213844235,186470.9088682652,49625.782213844235,48595.50591,1.0212010613852305,4251.0984955682,1.3712381047989872,1336225.1854712875,1408765.3969176498,0.5729363864794912,1.4729599461367668,0.5582989094113815,1.498044672668866,3.7575409504828907,0,nan
ma6_a5_h30km,windward_body,windward,0.5291304136578899,0.125,0.051551349999999996,0.45,649651.0517730427,nan,2355259.3959781197,0.2758299374083371,0.0,45986.20889726491,178403.3055767268,45986.20889726491,50017.53917,0.9194016671025463,4146.707507433365,1.3552939638196433,1335851.2640992654,1408509.35748512,0.569604660086868,1.4795130828742242,0.5550111899942953,1.5047883720569217,3.8794958283098997,0,nan
ma6_a5_h30km,windward_body,windward,0.5729856934627773,0.1375,0.051551349999999996,0.49500000000000005,714616.1569503471,nan,2355259.3959781197,0.30341293114917095,0.0,43846.129804774886,175034.78280003124,43846.129804774886,48508.79975,0.9038799152060011,4146.707507433365,1.3671851728230866,1335851.2640992654,1408509.35748512,0.569604660086868,1.4795130828742242,0.5550111899942953,1.5047883720569217,3.9920235509809987,0,nan
ma6_a5_h30km,windward_body,windward,0.6168409732676646,0.15000000000000002,0.051551349999999996,0.5400000000000001,792229.3780670868,nan,2378348.342848112,0.3331006496375459,0.0,40857.58204927874,167690.6392467236,40857.58204927874,46791.532,0.8731832513899895,4038.6252945061824,1.3375860880738772,1335456.9676136991,1408239.3663694283,0.5660821908624923,1.4865286785646206,0.5515357767867881,1.5120077314746405,4.1042722264981375,0,nan
ma6_a5_h30km,windward_body,windward,0.6606962530725519,0.1625,0.051551349999999996,0.5850000000000001,858248.4929060105,nan,2378348.342848112,0.3608590371073413,0.0,39254.695094945244,165027.52980584223,39254.695094945244,45325.11126,0.8660694701832541,4038.6252945061824,1.3442984137792087,1335456.9676136991,1408239.3663694283,0.5660821908624923,1.4865286785646206,0.5515357767867881,1.5120077314746405,4.204020166420616,0,nan
ma6_a5_h30km,windward_body,windward,0.7045515328774392,0.17500000000000002,0.051551349999999996,0.6300000000000001,919922.6287410203,nan,2383855.9800672694,0.3858968983164248,0.0,37745.40112755629,161897.65662375238,37745.40112755629,44383.77244,0.8504324678255377,4013.4457348295746,1.3394269608856262,1335364.0294297603,1408175.727750038,0.5652505437513872,1.4881983253934756,0.5507153189156418,1.513725835011657,4.289202175296473,0,nan
