point_id,side,side_id,mach,alpha_deg,altitude_km,Tw_K,x_m,span_m,xc,yb,valid_mask,q_low_W_m2,T_e_K,p_e_Pa,rho_e_kg_m3,ma_e,v_e_m_s,mu_e_Pa_s,w_tr,re_edge,re_tri
105,leeward,-1,8.3,2.2,56.7,300.0,1.089256555909091,0.025775674999999998,0.30000000000000004,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,139548.87520564394,3205627.5572110233
106,leeward,-1,8.3,2.2,56.7,300.0,1.134073403125,0.025775674999999998,0.3125,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,145986.90221905545,3195470.929959934
107,leeward,-1,8.3,2.2,56.7,300.0,1.178890250340909,0.025775674999999998,0.325,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,151053.09592237443,3204441.5349393426
108,leeward,-1,8.3,2.2,56.7,300.0,1.2237070975568183,0.025775674999999998,0.3375,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,157559.952522396,3193962.189726783
109,leeward,-1,8.3,2.2,56.7,300.0,1.2685239447727275,0.025775674999999998,0.35000000000000003,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,163312.07335524767,3192401.2112208847
110,leeward,-1,8.3,2.2,56.7,300.0,1.3133407919886366,0.025775674999999998,0.36250000000000004,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,169432.1803703438,3197732.1501871953
111,leeward,-1,8.3,2.2,56.7,300.0,1.3581576392045456,0.025775674999999998,0.375,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,175222.2969045052,3197170.9054915807
112,leeward,-1,8.3,2.2,56.7,300.0,1.4029744864204545,0.025775674999999998,0.3875,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,181063.04013465534,3197170.9054915807
113,leeward,-1,8.3,2.2,56.7,300.0,1.4477913336363637,0.025775674999999998,0.4,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,186858.31455557735,3196609.2755767517
114,leeward,-1,8.3,2.2,56.7,300.0,1.4926081808522729,0.025775674999999998,0.41250000000000003,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,192697.63688543913,3196609.2755767517
115,leeward,-1,8.3,2.2,56.7,300.0,1.537425028068182,0.025775674999999998,0.42500000000000004,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,198987.22540475448,3191230.0268561873
116,leeward,-1,8.3,2.2,56.7,300.0,1.582241875284091,0.025775674999999998,0.4375,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,204804.94533733395,3190617.23268599
117,leeward,-1,8.3,2.2,56.7,300.0,1.6270587225000002,0.025775674999999998,0.45,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,210656.51520411493,3190617.23268599
118,leeward,-1,8.3,2.2,56.7,300.0,1.6718755697159091,0.025775674999999998,0.4625,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,216482.78719457932,3189973.3553510695
119,leeward,-1,8.3,2.2,56.7,300.0,1.7166924169318183,0.025775674999999998,0.47500000000000003,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,222333.67333497334,3189973.3553510695
120,leeward,-1,8.3,2.2,56.7,300.0,1.7615092641477275,0.025775674999999998,0.48750000000000004,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,228165.95390875905,3189328.5660303077
121,leeward,-1,8.3,2.2,56.7,300.0,1.8063261113636364,0.025775674999999998,0.5,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,234016.3629833426,3189328.5660303077
122,leeward,-1,8.3,2.2,56.7,300.0,1.8511429585795458,0.025775674999999998,0.5125000000000001,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,240159.89467805173,3190189.7506899545
123,leeward,-1,8.3,2.2,56.7,300.0,1.8959598057954548,0.025775674999999998,0.525,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,246862.93203974626,3193480.55876151
124,leeward,-1,8.3,2.2,56.7,300.0,1.9407766530113637,0.025775674999999998,0.5375,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,252596.01629207435,3194558.569564379
125,leeward,-1,8.3,2.2,56.7,300.0,1.9855935002272729,0.025775674999999998,0.55,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,258460.8660321323,3194490.942982506
126,leeward,-1,8.3,2.2,56.7,300.0,2.030410347443182,0.025775674999999998,0.5625,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,264325.843639712,3194422.8103594147
127,leeward,-1,8.3,2.2,56.7,300.0,2.075227194659091,0.025775674999999998,0.5750000000000001,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,270194.2437740921,3194340.941571376
128,leeward,-1,8.3,2.2,56.7,300.0,2.120044041875,0.025775674999999998,0.5875,0.025,1,1076.873377953325,nan,nan,nan,nan,nan,nan,0.0,276056.71240778064,3194312.088975907
