representative_case,applies_to_phase9_cases,sheet,canonical_index,grid_j,grid_i,x_over_c,y_over_b,x_m,span_m,z_m,failure_reason,projected_candidate_triangle_ids,projected_candidate_max_abs_nz,current_sampler_upper_triangle_id,current_sampler_lower_triangle_id,nearest_any_stl_triangle_id,distance_to_any_stl_projected_support_m,nearest_eligible_skin_triangle_id,nearest_eligible_skin_triangle_sheet_code,distance_to_eligible_skin_support_m,nearest_same_sheet_triangle_id,distance_to_same_sheet_support_m,nearest_outline_segment,outline_region,distance_to_outline_boundary_m,expected_domain,point_classification,representation_classification,unknown
ma8_a10_h40km,12,upper,3002,37,5,0.0625,0.92500000000000004,3.1878653079429511,0.95369997499999992,,outside_stl_support,1977;5760,0.41752896878568613,,,1977,0,5748,2,0.00088395074622116732,1975,0.00089497891905166739,182,LE,0.0047595159634651173,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,3078,38,0,0,0.95000000000000007,3.3066375523149882,0.97947565000000003,,outside_stl_support,,,,,1965,0.00017367480236455863,5748,2,0.0057795175287353824,1975,0.0057893456553807657,182,LE,0,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,3079,38,1,0.012500000000000001,0.95000000000000007,3.3102920829110509,0.97947565000000003,,outside_stl_support,1964;5740,0.085953012844385529,,,1964,0,5748,2,0.0051489477814345543,1975,0.0051587403359117318,182,LE,0.00063460212846211644,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,3080,38,2,0.025000000000000001,0.95000000000000007,3.3139466135071136,0.97947565000000003,,outside_stl_support,1973;5763,0.25531959950063088,,,1973,0,5748,2,0.0045183780341337262,1975,0.004528135016442697,182,LE,0.0012692042569240464,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,3081,38,3,0.037500000000000006,0.95000000000000007,3.3176011441031763,0.97947565000000003,,outside_stl_support,1973;5763,0.25531959950063088,,,1973,0,5748,2,0.0038878082868330078,1975,0.0038975296969737728,182,LE,0.0019038063853860534,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,3082,38,4,0.050000000000000003,0.95000000000000007,3.321255674699239,0.97947565000000003,,outside_stl_support,1974;5763,0.25510934315742428,,,1974,0,5748,2,0.0032572385395322565,1975,0.0032669243775046292,182,LE,0.0025384085138480607,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,3083,38,5,0.0625,0.95000000000000007,3.3249102052953017,0.97947565000000003,,outside_stl_support,1977;5759,0.4222343264194478,,,1977,0,5748,2,0.0026266687922315377,1975,0.0026363190580357041,182,LE,0.0031730106423101001,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,3084,38,6,0.075000000000000011,0.95000000000000007,3.3285647358913639,0.97947565000000003,,outside_stl_support,1977;5760,0.41752896878568613,,,1977,0,5748,2,0.0019960990449308185,1975,0.0020057137385667795,182,LE,0.0038076127707719976,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,3085,38,7,0.087500000000000008,0.95000000000000007,3.3322192664874266,0.97947565000000003,,outside_stl_support,1977;5760,0.41752896878568613,,,1977,0,5748,2,0.0013655292976300674,1975,0.0013751084190977451,182,LE,0.0044422148992341141,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,3086,38,8,0.10000000000000001,0.95000000000000007,3.3358737970834893,0.97947565000000003,,outside_stl_support,1977;5760,0.41752896878568613,,,1977,0,5748,2,0.00073495955032934859,1975,0.00074450309962871097,182,LE,0.0050768170276962307,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,3087,38,9,0.1125,0.95000000000000007,3.339528327679552,0.97947565000000003,,outside_stl_support,1976;5760,0.42303523083541805,,,1976,0,5748,2,0.0001043898030285205,1975,0.00011389778015967665,182,LE,0.0057114191561581608,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,3159,39,0,0,0.97500000000000009,3.452818776157494,1.0052513249999999,,outside_stl_support,,,,,1965,0.00017366147269745128,5748,2,0.0059458112064938468,1975,0.0059541724956924573,182,LE,0,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
ma8_a10_h40km,12,upper,3160,39,1,0.012500000000000001,0.97500000000000009,3.4546460414555251,1.0052513249999999,,outside_stl_support,1964;5740,0.085953012844385529,,,1964,0,5748,2,0.0056305263328434874,1975,0.0056388698359579187,182,LE,0.00031730106423100358,outside sheet-specific graph-skin domain,valid_exclusion_from_graph_skin,defect_rectangular_domain_includes_boundary_or_cap,0
