case,idx,x_m,span_m,x_over_c,y_over_b,phi_rad,cp_low,cp_fluent,p_e_low,p_wall_fluent,p_e_over_p_wall,q_low,q_fluent,q_ratio,q_lam_low,rho_e,ma_e
ma6_a5_h30km,2154,2.9571926309954017,0.67016755,0.6000000000000001,0.65,0.29566258669902357,0.09202410124735544,0.010585921454572317,3886.2272572279585,1484.056969,2.6186509941371114,33014.704257861245,43930.54512,0.751520477783255,33014.704257861245,0.040034926868134375,4.740744641520903
ma6_a5_h30km,2155,2.9772491112767954,0.67016755,0.6125,0.65,0.29620583323600524,0.09221285807245914,0.010585921454572317,3891.7968466846983,1484.056969,2.6224039426917027,32711.88539518316,43930.54512,0.7446273499640825,32711.88539518316,0.040075901694638705,4.739559044365917
ma6_a5_h30km,2156,2.997305591558189,0.67016755,0.625,0.65,0.29620583323600524,0.09221285807245914,0.05374275352327448,3891.7968466846983,2758.159974,1.4110120092275322,32383.11438366369,70531.07896,0.4591325534950202,32383.11438366369,0.040075901694638705,4.739559044365917
ma6_a5_h30km,2157,3.0173620718395826,0.67016755,0.6375000000000001,0.65,0.29620583323600524,0.09221285807245914,0.05374275352327448,3891.7968466846983,2758.159974,1.4110120092275322,32064.0611409172,70531.07896,0.45460896974370063,32064.0611409172,0.040075901694638705,4.739559044365917
ma6_a5_h30km,2158,3.0374185521209762,0.67016755,0.65,0.65,0.2975404158809234,0.09267665390385926,0.011821357191723897,3905.481927323383,1520.530276,2.5684999430576174,31933.332202019956,44374.31558,0.7196354869845624,31933.332202019956,0.04017651017174007,4.736653893171273
ma6_a5_h30km,2159,3.0574750324023703,0.67016755,0.6625000000000001,0.65,0.29815128835358773,0.09288898290641417,0.011821357191723897,3911.747053754389,1520.530276,2.5726202993108895,31669.063970814088,44374.31558,0.7136800547091184,31669.063970814088,0.040222535819713266,4.735327666316999
ma6_a5_h30km,2160,3.077531512683764,0.67016755,0.675,0.65,0.2977526096210124,0.09275040620881542,0.012117848569272368,3907.65811385263,1529.28348,2.555221556341294,31367.90518572553,43917.33496,0.7142488316810545,31367.90518572553,0.040192499532299,4.736192961606923
ma6_a5_h30km,2161,3.0975879929651575,0.67016755,0.6875,0.65,0.2977526096210124,0.09275040620881542,0.012117848569272368,3907.65811385263,1529.28348,2.555221556341294,31081.434297662774,43917.33496,0.7077258746682104,31081.434297662774,0.040192499532299,4.736192961606923
ma6_a5_h30km,2162,3.1176444732465516,0.67016755,0.7000000000000001,0.65,0.2977526096210124,0.09275040620881542,0.011865090598352744,3907.65811385263,1521.821401,2.5677507960427413,30802.671408382506,43702.87356,0.704820276087642,30802.671408382506,0.040192499532299,4.736192961606923
ma6_a5_h30km,2163,3.137700953527945,0.67016755,0.7125,0.65,0.2977526096210124,0.09275040620881542,0.011865090598352744,3907.65811385263,1521.821401,2.5677507960427413,30531.276942740464,43702.87356,0.6986102847636287,30531.276942740464,0.040192499532299,4.736192961606923
